nested_key_name
scoreValueFoodMade
scoreValueFoodUsed
scoreValueMineralsCollectionRate
scoreValueMineralsCurrent
scoreValueMineralsFriendlyFireArmy
scoreValueMineralsFriendlyFireEconomy
scoreValueMineralsFriendlyFireTechnology
scoreValueMineralsKilledArmy
scoreValueMineralsKilledEconomy
scoreValueMineralsKilledTechnology
scoreValueMineralsLostArmy
scoreValueMineralsLostEconomy
scoreValueMineralsLostTechnology
scoreValueMineralsUsedActiveForces
scoreValueMineralsUsedCurrentArmy
scoreValueMineralsUsedCurrentEconomy
scoreValueMineralsUsedCurrentTechnology
scoreValueMineralsUsedInProgressArmy
scoreValueMineralsUsedInProgressEconomy
scoreValueMineralsUsedInProgressTechnology
scoreValueVespeneCollectionRate
scoreValueVespeneCurrent
scoreValueVespeneFriendlyFireArmy
scoreValueVespeneFriendlyFireEconomy
scoreValueVespeneFriendlyFireTechnology
scoreValueVespeneKilledArmy
scoreValueVespeneKilledEconomy
scoreValueVespeneKilledTechnology
scoreValueVespeneLostArmy
scoreValueVespeneLostEconomy
scoreValueVespeneLostTechnology
scoreValueVespeneUsedActiveForces
scoreValueVespeneUsedCurrentArmy
scoreValueVespeneUsedCurrentEconomy
scoreValueVespeneUsedCurrentTechnology
scoreValueVespeneUsedInProgressArmy
scoreValueVespeneUsedInProgressEconomy
scoreValueVespeneUsedInProgressTechnology
scoreValueWorkersActiveCount
