# Per-game PlayerStats interval stats
replay_id,mean_diff,std_diff,min_diff,max_diff,year
028feb90e098a58b94e82c677e032336,159.1877133105802,9.844106046906095,0.0,160.0,2018
07bf4151824b86205732b169c0057d8f,158.70967741935485,13.009970073902448,0.0,160.0,2017
0832480d607e1ce6955e749625094779,158.37762237762237,13.960610683101558,0.0,160.0,2017
092e7148592997bca9045a9b9a1ac87c,157.97530864197532,17.773558527094373,0.0,160.0,2016
0c991f032e47d83f34b8f53a845be5e5,157.73584905660377,16.761337681953204,0.0,160.0,2016
0d49d0fac2fbb0d7339775ffe3dc680c,158.9134948096886,11.30585476556318,0.0,160.0,2022
0eabd7c9a331acc770ab1f16f0017e7e,157.42857142857142,18.756570277410216,0.0,160.0,2020
14ea5410bbb7376e2e57d9d7734849b0,155.68115942028984,22.216509993314318,0.0,160.0,2022
155f3236eab0537fb185d38bceb3e6aa,155.2173913043478,23.681631977011822,0.0,160.0,2021
1611379c009ede524bd096708cd116f7,159.21632653061224,10.303098112345278,0.0,160.0,2023
17f2c21736f3d9d10d3fa44140c86757,158.97041420118344,12.318890853125765,0.0,160.0,2017
1d1b824f1ddf5feef3f73ac39feff0aa,157.72670807453417,16.877865526200203,0.0,160.0,2023
20d7ddc941cddd8b1efd6fd0f88b8ff5,158.31683168316832,15.921011709730829,0.0,160.0,2021
21daa95e43911bece8eea6c820493569,159.26829268292684,10.426158197899046,0.0,160.0,2024
22034b7946bc4668ba8c6e30cacf3891,158.29951690821255,14.456736588013158,0.0,160.0,2020
2343e77b6e475a6b7d60f4dd1c6852d5,157.85310734463278,16.608489886569323,0.0,160.0,2016
23b2f9c07361a2d8fde30fd6e1f58272,157.2,20.557533780148614,0.0,160.0,2020
25f07db9f70e018f0737f923b0cc5d31,159.29241877256317,9.713525994420568,0.0,160.0,2020
2a1d4b7da3581b850db7772aa23f7e8a,157.96491228070175,15.753951786901744,0.0,160.0,2016
2b634224a8e4060e3ff5bd447d38eff8,158.62686567164178,12.593850667165531,0.0,160.0,2019
2c8790e336c66e878c03ebda809d6892,157.95348837209303,15.376453419675222,0.0,160.0,2019
2eba4b5efbec1fbdaba015e7325de89f,155.8989898989899,23.40961556732833,0.0,160.0,2016
32d76490dbda9e18b913d2a05250ccc8,158.6816479400749,12.742082913453842,0.0,160.0,2017
36fa690d6111a50e56edb78c387ca60c,159.17966101694915,9.86360691538842,0.0,160.0,2017
3a15bf97a521f869fa3593c486cf35e9,158.86910994764398,11.880042474824629,0.0,160.0,2017
3ad2da3e5e752d764e5ed4a347d20a21,158.21714285714285,14.442861771741617,0.0,160.0,2019
3ba6d3c64d9a06518acda79f3284c01d,157.9289340101523,16.753769767096852,0.0,160.0,2016
3de2f54867e996180ff5c090d8390d7a,159.08474576271186,10.299409096703846,0.0,160.0,2022
